Age,Gender,EducationBackground,EmpDepartment,EmpJobRole,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,MaritalStatus_Married,MaritalStatus_Single,BusinessTravelFrequency_Travel_Frequently,BusinessTravelFrequency_Travel_Rarely
0.047619048,0,5,5,14,0.094457924,3,3,0.020018418,3,1,3,0.353553391,0,0.619157361,1,0.267261242,3,3,0.377964473,0.365148372,0.377964473,0,0,1,0,1
0.380952381,1,6,3,6,0.166938038,1,1,0.272173282,3,2,4,0,0,0.479085608,3,0.5,1,2,0.377964473,0,0.534522484,0,0,1,1,0
0.714285714,1,5,0,5,0.791791439,4,4,0.367960614,3,1,3,0.707106781,0,0.479085608,1,0.681385144,2,2,0,0,0,0,1,0,0,1
0.357142857,0,5,4,17,0.625211938,3,4,0.665090831,3,1,2,0.353553391,0,0.171635226,4,0.534522484,5,3,0.707106781,0.25819889,0.654653671,0,1,0,0,1
0.30952381,1,6,4,17,0.456083201,4,3,0.221880428,2,1,2,0,1,0.405955372,4,0.327326835,5,3,0.377964473,0.365148372,0.377964473,0,0,1,0,1
0.761904762,1,6,4,12,1,4,2,0.863099854,2,4,3,0,0,0.330501811,2,1,2,3,0.845154255,1,0.707106781,0,1,0,0,1
0.785714286,0,4,5,11,0.934746969,4,1,0.585218846,3,4,3,0.5,0,0.252488331,3,0.597614305,2,2,0.654653671,0.516397779,0.46291005,0,1,0,0,1
0.857142857,0,4,5,18,0.166938038,3,4,0.383365787,3,2,1,0.5,0,0.252488331,4,0.755928946,4,3,0.377964473,0,0.597614305,0,1,0,0,1
0.333333333,1,3,3,15,0.094457924,3,4,0.741698563,3,1,1,0.353553391,0,0.252488331,4,0.377964473,4,3,0.377964473,0.25819889,0.377964473,0,0,1,0,1
0.166666667,1,2,3,13,0.094457924,1,4,0.458260498,3,1,3,0.866025404,1,0.619157361,3,0.5,2,2,0.377964473,0,0.377964473,0,0,0,0,1
0.642857143,0,3,3,16,0.978641125,2,4,0.320815835,2,4,2,0.353553391,0,0,3,0.866025404,2,3,0.654653671,0.730296743,0.654653671,0,0,1,0,1
0.428571429,1,5,5,18,0.094457924,2,2,0.515839147,2,3,3,0.353553391,0,0.171635226,2,0.597614305,2,3,0.801783726,0.774596669,0,0,1,0,0,1
0.285714286,0,4,5,18,0.28187492,3,4,0,2,2,3,0.353553391,0,0.171635226,3,0.597614305,2,3,0.801783726,0.25819889,0.377964473,0,0,0,0,1
